Source,Citations
,"Adelaar, K. Alexander. 1994. The classification of the Tamanic languages. In Tom E. Dutton & Darrell T Tryon (eds.), Language Contact and Change in the Austronesian World, 1-42. New York: Mouten de Gruyter."
,"Agard, Frederick B. 1984. A Course in Romance Linguistics, vol. 2. Washington D.C.: Georgetown University Press. ISBN 978-0878400744"
,"Alpher, Barry , Nicholas  Evans & Mark  Harvey. 2003. Proto-Gunwinyguan Verb Suffixes. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 305-351. Canberra: Pacific Linguistics. ISBN 085883538"
,"Andronov, Mikhail S. 1978. Sravnitel'naja grammatika dravidijskix jazykov. Moscow : Nauka ."
,"Appleyard, David L. 2006. A Comparative Dictionary of the Agaw Languages. Koln: Rudiger Koppe Verlag. ISBN 3-89645-481-1"
,"Arana, Evangelina , John  Bendor-Samuel, Morris  Swadesh & W. A. A. Wilson. 1966. A preliminary glottochronology of Gur languages, Journal of West African Languages, 2 edn., vol. 3, 27-66."
,"Asher, R. E. & Christopher  Moseley (eds.). 2007. Afroasiatic, Atlas of the World's Languages, 2 edn., 70-73. London, New York: Routledge."
,"Asher, R. E. & Christopher  Moseley (eds.). 2007. Meso-America: Time of Contact, Atlas of the World's Languages, 2 edn., 56. London, New York: Routledge."
,"Assefa, Shiferaw , Christopher  Ehret, Andrew  Kitchen & Connie J Mulligan. 2009. Bayesian phylogenetic analysis of Semitic languages identifies an Early Bronze Age origin of Semitic in the Near East."
,"Atkinson, Quentin  & Claire  Bowern. 2012. Computational Phylogenetics and the Internal Structure of Pama-Nyungan, Language, vol. 88, 817-845. Rochester, NY: Linguistic Society of America."
,"Austerlitz, Robert. 1968. L'ouralien. In André  Martinet (ed.), Le Langage, 1331-1387. Paris: Éditions Gallimard. ISBN 2-07-010424-9"
,"Austin, Peter K. & Luise Anna Hercus. 2004. The Yarli Languages. In Claire  Bowern & Harold  Koch (eds.), Australian Languages: The classification and comparative method, vol. 249, 207-222. Amsterdam: John Benjamins."
,"Baker, Brett. 2004. Stem Forms and Paradigm Reshaping in  Gunwinyguan. In Claire  Bowern & Harold  Koch (eds.), Australian Languages: The classification and comparative method, vol. 249, 314-340. Amsterdam: John Benjamins."
,"Baron, Wietze. 1983. Kwomtari Survey, ms."
,"Barreteau, Daniel  & Yves  Moñino. 1978. Les langues oubanguiennes. In Daniel  Barreteau (ed.), Inventaire des études linguistiques sur les pays d'Afrique noire d'expression française et sur Madagascar. Paris: Conseil international de la langue française."
,"Bass, Jack  & Richard  Loving. 1964. Languages of the Amanab Sub-district, 8. Port Moresby: The Department of Information and Extension Services."
,"Baumann, Hermann  (ed.). 1975. Die Völker Afrikas und ihre traditionellen Kulturen. Wiesbaden: Franz Steiner Verlag GmbH."
,"Bechhaus-Gerst, Marianne. 1989. ""Nile-Nubian"" Reconsidered. In M. Lionel Bender (ed.), Topics in Nilo-Saharan Linguistics. Hamburg: Buske Verlag. ISBN 3-87118-927-8"
,"Bender, Byron W. 1971. Micronesian Language, Current Trends in Linguistics: Linguistics in Oceania, Current Trends in Linguistics, pt. 1 edn., vol. 8, 426-465. The Hague, Paris: Mouton."
,"Bender, M. Lionel (ed.). 1989. Subclassification of Nilo-Saharan: A proposal. In M. Lionel Bender (ed.), Topics in Nilo-Saharan Linguistics, 35-49. Hamburg: Helmut Buske Verlag. ISBN 3-87118-927-8"
,"Bender, M. Lionel. 1971. The Languages of Ethiopia: A New Lexicostatistic Classification and some Problems of Difussion, Anthropological Linguistics, vol. 13, No, 5, 165-288. Bloomington: Indiana University."
,"Bender, M. Lionel. 1975. Omotic: A New Afroasiatic Language Family, 218-224. Carbondale, Illinois: University Museum Series, 3.ISBN B0006W4242"
,"Bender, M. Lionel. 2000. Nilo-Saharan. In Bernd  Heine & Derek  Nurse (eds.), African Languages: An Introduction, 1 edn., 43-73. Cambridge: Cambridge University Press. ISBN 0521661781"
,"Bender, M. Lionel. 2003. The Omotic Lexicon, Selected Comparative-Historical Afrasian Linguistic Studies, 93-105. ISBN 3-89586-857-4"
,"Benedict, Paul K. 1942. Thai, Kadai, and Indonesian:  A New Alignment in Southeastern Asia, American Anthropologist, 4 edn., vol. 44, 576-601. New Jersey: Wiley-Blackwell."
,"Benedict, Paul K. 1972. Sino-Tibetan: A Conspectus. Cambridge: Cambridge University Press. ISBN 0-521-08175-0"
,"Benedict, Paul K. 1975. Austro-Thai Language and Culture, with a Glossary of Roots. New Haven: HRAF Press. ISBN 0-87536-323-7"
,"Benedict, Paul K. 1983. Personal Letter to Professor Merritt Ruhlen."
,"Bengtson, John D. 1991. Notes on Sino-Caucasian, Dene-Sino-Caucasian Languages. Materials from the First International Interdisciplinary Symposium on Language and Prehistory, Ann Arbor, 8-12 November, 1988. , Bochum Publications in Evolutionary Cultural Semiotics, vol. 32, 67-129. Bochum: Bochumer Universitätsverlag. ISBN 3934453554, 9783934453555"
,"Bengtson, John D. 1994. Edward Sapir and the ""Sino-Dene"" Hypothesis, Anthropological Science, vol. 102(3), 207-230."
,"Benjamin, Geoffrey. 1976. Austroasiatic Subgroupings and Prehistory in the Malay Peninsula. In Austroasiatic Studies, 37-128. Honolulu: The University Press of Hawaii. ISBN 0-8248-0280-2"
,"Bennett, Patrick R. & Jan P. Sterk. 1977. South Central Niger-Congo: A reclassifcation, Studies in African Linguistics, Studies in African Linguistics, vol. 8, 241-273."
,"Biggs, Bruce. 1971. The Languages of Polynesia, Current Trends in Linguistics: Linguistics in Oceania, Current Trends in Linguistics, pt. 1 edn., vol. 8, 466-505. The Hague, Paris: Mouton."
,"Black, Paul. 1974. Lowland East Cushitic: Subgrouping and Reconstruction."
,"Blažek, Václav. 1999. Elam: a bridge between Ancient Near East and Dravidian India?. In Roger  Blench & Matthew  Spriggs (eds.), Archaeolgy and Language IV: Language Change and Cultural Transformation, 48-78. London and New York: Routledge: Taylor & Francis Group."
,"Blench, Roger  & Kay  Williamson. 2000. Niger-Congo. In Bernd  Heine & Derek  Nurse (eds.), African Languages: An Introduction, 1 edn., 11-42. ISBN 0521661781"
,"Blench, Roger  & Matthew  Spriggs (eds.). 1999.  The languages of Africa: macrophyla proposals and implications for archeological interpretations. In Roger  Blench & Matthew  Spriggs (eds.), Archaeolgy and Language IV: Language Change and Cultural Transformation, 29-47. London and New York: Routledge: Taylor & Francis Group."
,"Blench, Roger. 1992. Is Niger-Congo simply a branch of Nilo-Saharan?, Proceedings: Fifth Nilo-Saharan Linguistics Colloquium. Nice: Rudiger Koppe."
,"Blench, Roger. 2004. Stratification in the peopling of China: how far does the linguistic evidence match genetics and archaeology?, Human migrations in continental East Asia and Taiwan: genetic, linguistic and archaeological evidence."
,"Blench, Roger. 2006. The Afro-Asiatic Languages: Classification and Reference List, ms."
,"Blench, Roger. 2012. Niger-Congo: an alternative view. http://www.rogerblench.info/Language/Niger-Congo/General/NCgenOP.htm.  (28 August, 2012.)"
,"Blench, Roger. 2012. The Saharan-Songhay subgroup of Nilo-Saharan. http://www.rogerblench.info/Language/Nilo-Saharan/General/Saharan%20Songhay%20Koln%202012%20ppt.pdf.  (06 September, 2012.), Blench, Roger  & Lameen  Souag. 2012. Saharan and Songhay Form a Branch of Nilo-Saharan. http://www.rogerblench.info/Language/Nilo-Saharan/General/Saharan%20Songhay%20branch.pdf.  (06 September, 2012.)"
,"Blevins, Juliette. 2007. A Long Lost Sister of Proto-Austronesian?: Proto-Ongan, Mother of Jarawa and Onge of the Andaman Islands, Oceanic Linguistics, 1 edn., vol. 46, 154-198. Hawai'i: University of Hawai'i Press."
,"Bloomfield, Leonard. 1933. Language, 57-66, 312. New York: Holt, Rinehart, and Winston. ISBN 0-226-06067-5"
,"Blust, Robert A. 1978. Eastern Malayo-Polynesian: A Subgrouping Argument. In Lois  Carrington & Stephen   Wurm (eds.), Proceedings of the Second International Conference on Austronesian Linguistics, Fascicle 1: Western Austronesian., vol. Fascicle I, 220. Canberra: Pacific Linguistics, Series C-61. ISBN B001ACY814"
,"Blust, Robert A. 1991. The Greater Central Philippines Hypothesis, Oceanic Linguistics, no. 2 edn., vol. 30, 73-129."
,"Blust, Robert A. 1999. Subgrouping, Circularity and Extinction: Some Issues in Austronesian Comparative Linguistics, Selected Papers from the Eighth International Conference on Austronesian Linguistics, vol. 1, 31-94. Taipei, Taiwan: Symposium Series of the Institute of Linguistics (Preparatory Office)."
,"Boller, Anton. 1857. Nachweis dass das Japanische zum Ural-Altäischen Stamme gehört."
,"Bouquiaux, Luc  & Jacqueline M. C. Thomas. 1980. Le peuplement oubanguien. In Luc  Bouquiaux, Larry M. Hyman & Jan  Voorhoeve (eds.), L'expansion bantoue, vol. 3. Paris: SELAF."
,"Bowern, Claire. 1998. The Case of Proto-Karnic: Morphological Reconstruction in the Nominal and Pronominal System of Proto-Karnic (Lake Eyre Basin). Canberra: Australian National University."
,"Bowern, Claire. 2004. Diagnostic Similarities and Differences between Nyulnyulan and Neighbouring Languages. In Claire  Bowern & Harold  Koch (eds.), Australian Languages: The classification and comparative method, vol. 249, 269-290. Amsterdam: John Benjamins."
,"Bowern, Claire. 2009. Proto-Karnic Subgrouping (Personal Communication), 1-5."
,"Bowern, Claire. 2010. Australia ISO Code Revisions: Existing Codes. Personal Communication with Anthony Aristar."
,"Boyd, Raymond. 1978. Les langues adamawa. In Daniel  Barreteau (ed.), Inventaire des études linguistiques sur les pays d'Afrique noire d'expression française et sur Madagascar. Paris: Conseil international de la langue française."
,"Bradley, David. 1997. Tibeto-Burman Languages and Classification."
,"Bradley, David. 2007. East and Southeast Asia. In Christopher  Moseley, Encyclopedia of the World's Endangered Languages, 1 edn. Abingdon: Routledge. ISBN 070071197X"
,"Breen, Gavan. 2003. Wanyi and Garrwa Comparative Data. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 424-462. Canberra: Pacific Linguistics. ISBN 085883538"
,"Breen, Gavan. 2003. Wanyi and Garrwa Comparative Data. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 424-462. Canberra: Pacific Linguistics. ISBN 085883538, Multiple sources Integrated by The LINGUIST List. , Belfrage, Hugh. 2003. Wanyi and Garrwa Comparative Data: An Update. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 463-471. Canberra: Pacific Linguistics. ISBN 085883538, Tindale, Norman B. 1974. Aboriginal tribes of Australia, their terrain, environmental controls, distribution, limits, and proper names. With four sheet map. Berkeley & Canberra: University of California Press. , Dousset, Laurent. AusAnthrop: Research and resources on Aboriginal Australia. http://www.ausanthrop.net/index.php.  (19 October, 2009.), 2011. AUSTLANG: Australian Indigenous Languages Database. http://austlang.aiatsis.gov.au/main.php.  (19 October, 2009.), Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.), Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.), O'Grady, Geoffrey N, Florence Marie Robinett Voegelin & Charles Frederick Voegelin. 1966. Languages of the World: Indo-Pacific Fascicle Six, Anthropological Linguistics, 2 edn., vol. 8, 1-161. Bloomington: Indiana University."
,"Brenzinger, Matthias. 2008. The Twelve Modern Khoisan Languages, 3rd International Symposium on Khoisan Languages."
,"Burling, Robbins. 1983. The Sal Languages, Linguistics of the Tibeto-Burman Area, vol. 7.2, 1-32. Ann Arbor, MI: Linguistics of the Tibeto-Burman Area."
,"Burrow, Thomas. 1968. Collected papers on Dravidian linguistics. India: Annamalai University."
,"Cabral, Ana Suelly & Aryon Dall'Igna Rodrigues. Tupi. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter."
,"Caldwell, Robert A. 1856. A Comparative Grammar of the Dravidian Languages, 4-26. London: Harrison."
,"Campbell, Lyle  & Albert Samuel Gatschet. 1973. Gatschet's Classification of Mayan Languages, International Journal of American Linguistics, 4 edn., vol. 39, 250-252. Chicago: The University of Chicago Press."
,"Campbell, Lyle  & Terrence  Kaufman. 1985. Mayan Linguistics: Where are we Now?, Annual Review of Antropology, vol. 14, 187-198."
,"Campbell, Lyle  & Verónica  Grondona. 2012. Classification of the indigenous languages of South America. In Lyle  Campbell, Verónica  Grondona & Hans Henrich Hock (eds.), The Indigenous Languages of South America: A Comprehensive Guide, 59-166. Berlin:  Mouton de Gruyter."
Campbell-et-al-2007[32-43],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 32-43. London, New York: Routledge."
Campbell-et-al-2007[7-8],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 7-8. London, New York: Routledge."
Campbell-et-al-2007[7],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 7. London, New York: Routledge."
Campbell-et-al-2007[7];Mithun-1999,"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 7. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8-9],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8-9. London, New York: Routledge."
Campbell-et-al-2007[8],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge."
Campbell-et-al-2007[8];Mithun-1999[341],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 341. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[348],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 348. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[377],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 377. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[382],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 382. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[396],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 396. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[431],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 431. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[455],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 455. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[498],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 498. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[567],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 567. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[8];Mithun-1999[577],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 8. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 577. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[9],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 9. London, New York: Routledge."
Campbell-et-al-2007[9];Mithun-1999[389],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 9. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 389. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[9];Mithun-1999[393],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 9. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 393. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[9];Mithun-1999[395],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 9. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 395. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[9];Mithun-1999[418],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 9. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 418. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[9];Mithun-1999[501],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 9. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 501. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
Campbell-et-al-2007[9];Mithun-1999[549],"Campbell, Lyle , Ives  Goddard, Victor  Golla, J. Lachlan Mackenzie, Marianne  Mithun & Mauricio J. Mixco. 2007. Atlas of the World's Languages, 2 edn., 9. London, New York: Routledge. , Mithun, Marianne. 1999. The Languages of Native North America, 549. Cambridge: Cambridge University Press. ISBN 0-521-23228-7"
,"Campbell, Lyle , Verónica  Grondona & Hans Henrich Hock (eds.). 2012. The Indigenous Languages of South America: A Comprehensive Guide. Berlin:  Mouton de Gruyter."
Campbell-1997[111],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 111. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[114],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 114. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[115],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 115. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[116],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 116. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[117],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 117. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[118],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 118. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[119],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 119. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[120],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 120. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[122],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 122. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[123],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 123. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[124],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 124. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[126],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 126. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[127],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 127. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[128],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 128. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[129],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 129. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[131],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 131. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[132],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 132. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[134],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 134. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[138],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 138. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[140],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 140. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[142],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 142. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[145],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 145. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[147],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 147. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[148],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 148. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[151],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 151. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[153],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 153. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[158],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 158. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[160],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 160. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[161],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 161. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[162],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 162. Oxford: Oxford University Press. ISBN 0195094271"
Campbell-1997[166],"Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 166. Oxford: Oxford University Press. ISBN 0195094271"
